Symbol,Name,Country,Sector,Industry,float shares
AIV,Apartment Investment and Management Company Common Stock,United States,Real Estate,Real Estate Investment Trusts,128036855.0
AIZ,Assurant Inc. Common Stock,United States,Finance,Specialty Insurers,52461177.0
AIZN,Assurant Inc. 5.25% Subordinated Notes due 2061,United States,Finance,Property-Casualty Insurers,
AJG,Arthur J. Gallagher & Co. Common Stock,United States,Finance,Specialty Insurers,212993200.0
AJX,Great Ajax Corp. Common Stock,United States,Real Estate,Real Estate Investment Trusts,22858696.0
AJXA,Great Ajax Corp. 7.25% Convertible Senior Notes due 2024,United States,Real Estate,Real Estate Investment Trusts,
AKR,Acadia Realty Trust Common Stock,United States,Real Estate,Real Estate Investment Trusts,94482863.0
AL,Air Lease Corporation Class A Common Stock,United States,Consumer Discretionary,Diversified Commercial Services,103464076.0
ALB,Albemarle Corporation Common Stock,United States,Industrials,Major Chemicals,117012337.0
ALC,Alcon Inc. Ordinary Shares,Switzerland,Health Care,Ophthalmic Goods,492636486.0
ALE,Allete Inc.,United States,Utilities,Power Generation,57239739.0
ALEX,Alexander & Baldwin Inc. Common Stock REIT Holding Company,United States,Real Estate,Real Estate Investment Trusts,71567580.0
ALG,Alamo Group Inc. Common Stock,United States,Industrials,Industrial Machinery/Components,11713031.0
ALIT,Alight Inc. Class A Common Stock,United States,Technology,EDP Services,298949524.0
ALK,Alaska Air Group Inc. Common Stock,United States,Consumer Discretionary,Air Freight/Delivery Services,126682461.0
ALL,Allstate Corporation (The) Common Stock,United States,Finance,Property-Casualty Insurers,259965075.0
ALLE,Allegion plc Ordinary Shares,United States,Consumer Discretionary,Diversified Commercial Services,87199790.0
ALLG,Allego N.V. Ordinary Share,Netherlands,Consumer Discretionary,Other Specialty Stores,9211381.0
ALLY,Ally Financial Inc. Common Stock,United States,Finance,Major Banks,270808411.0
ALSN,Allison Transmission Holdings Inc. Common Stock,United States,Consumer Discretionary,Auto Parts:O.E.M.,88608147.0
ALTG,Alta Equipment Group Inc. Class A Common Stock,United States,Industrials,Industrial Machinery/Components,21027297.0
ALV,Autoliv Inc. Common Stock,Sweden,Consumer Discretionary,Auto Parts:O.E.M.,75835067.0
ALX,Alexander's Inc. Common Stock,United States,Real Estate,Real Estate Investment Trusts,2122028.0
AM,Antero Midstream Corporation Common Stock,United States,Utilities,Natural Gas Distribution,334119901.0
AMBC,Ambac Financial Group Inc. Common Stock,United States,Finance,Property-Casualty Insurers,44094381.0
AMC,AMC Entertainment Holdings Inc. Class A Common Stock,United States,Consumer Discretionary,Movies/Entertainment,942276499.0
AME,AMETEK Inc.,United States,Industrials,Industrial Machinery/Components,229406286.0
AMG,Affiliated Managers Group Inc. Common Stock,United States,Finance,Investment Managers,34427300.0
AMH,American Homes 4 Rent Common Shares of Beneficial Interest,United States,Real Estate,Real Estate Investment Trusts,332849365.0
AMK,AssetMark Financial Holdings Inc. Common Stock,United States,Finance,Investment Managers,22101866.0
AMN,AMN Healthcare Services Inc,United States,Consumer Discretionary,Professional Services,37769696.0
AMP,Ameriprise Financial Inc. Common Stock,United States,Finance,Investment Managers,102168391.0
AMPX,Amprius Technologies Inc. Common Stock,United States,Miscellaneous,Industrial Machinery/Components,18180667.0
AMPY,Amplify Energy Corp. Common Stock,United States,Energy,Oil & Gas Production,38465822.0
AMR,Alpha Metallurgical Resources Inc. Common Stock,United States,Energy,Coal Mining,12022667.0
AMRC,Ameresco Inc. Class A Common Stock,United States,Consumer Discretionary,Engineering & Construction,31991236.0
AMRX,Amneal Pharmaceuticals Inc. Class A Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations,103285952.0
AMT,American Tower Corporation (REIT) Common Stock,United States,Real Estate,Real Estate Investment Trusts,465246518.0
AMWL,American Well Corporation Class A Common Stock,United States,Technology,Retail: Computer Software & Peripheral Equipment,203806325.0
AMX,America Movil S.A.B. de C.V. American Depositary Shares (each representing the right to receive twenty (20) Series B Shares,Mexico,Telecommunications,Telecommunications Equipment,825834400.0
AN,AutoNation Inc. Common Stock,United States,Consumer Discretionary,Retail-Auto Dealers and Gas Stations,26379684.0
ANET,Arista Networks Inc. Common Stock,United States,Telecommunications,Computer Communications Equipment,251673573.0
ANF,Abercrombie & Fitch Company Common Stock,United States,Consumer Discretionary,Clothing/Shoe/Accessory Stores,48578557.0
ANVS,Annovis Bio Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations,6350498.0
AOD,abrdn Total Dynamic Dividend Fund Common Shares of Beneficial Interest,United States,Finance,Investment Managers,
AOMR,Angel Oak Mortgage REIT Inc. Common Stock,United States,Real Estate,Real Estate Investment Trusts,11753073.0
AON,Aon plc Class A Ordinary Shares (Ireland),United States,Finance,Specialty Insurers,196036268.0
AOS,A.O. Smith Corporation Common Stock,United States,Consumer Discretionary,Consumer Electronics/Appliances,122356358.0
AP,Ampco-Pittsburgh Corporation Common Stock,United States,Industrials,Fluid Controls,14349428.0
APAM,Artisan Partners Asset Management Inc. Class A Common Stock,United States,Finance,Investment Managers,61045034.0
APD,Air Products and Chemicals Inc. Common Stock,United States,Industrials,Major Chemicals,221300153.0
APE,AMC Entertainment Holdings Inc. AMC Preferred Equity Units each constituting a depositary share representing a 1/100th interest in a share of Series A Convertible Participating Preferred Stock,United States,Consumer Discretionary,Movies/Entertainment,942276499.0
APH,Amphenol Corporation Common Stock,United States,Technology,Electrical Products,592636650.0
APLE,Apple Hospitality REIT Inc. Common Shares,United States,Real Estate,Real Estate Investment Trusts,212970771.0
APRN,Blue Apron Holdings Inc. Class A Common Stock,United States,Consumer Discretionary,Catalog/Specialty Distribution,3648439.0
APTV,Aptiv PLC Ordinary Shares,United Kingdom,Consumer Discretionary,Auto Parts:O.E.M.,281138652.0
AQN,Algonquin Power & Utilities Corp. Common Shares,United States,Utilities,Electric Utilities: Central,635760366.0
AQNA,Algonquin Power & Utilities Corp. 6.875% Fixed-to-Floating Rate Subordinated Notes Series 2018-A due October 17 2078,United States,Utilities,Electric Utilities: Central,
AQNB,Algonquin Power & Utilities Corp. 6.20% Fixed-to-Floating Subordinated Notes Series 2019-A due July 1 2079,United States,Utilities,Electric Utilities: Central,
AQNU,Algonquin Power & Utilities Corp. Corporate Units,United States,Utilities,Electric Utilities: Central,635760366.0
AR,Antero Resources Corporation Common Stock,United States,Energy,Oil & Gas Production,285109278.0
ARC,ARC Document Solutions Inc. Common Stock,United States,Consumer Discretionary,Professional Services,33621517.0
ARCH,Arch Resources Inc. Class A Common Stock,United States,Energy,Coal Mining,17566987.0
ARCO,Arcos Dorados Holdings Inc. Class A Shares,Argentina,Consumer Discretionary,Restaurants,130618720.0
ARDC,Ares Dynamic Credit Allocation Fund Inc. Common Shares,United States,Finance,Investment Managers,
ARE,Alexandria Real Estate Equities Inc. Common Stock,United States,Real Estate,Real Estate Investment Trusts,171124906.0
ARES,Ares Management Corporation Class A Common Stock,United States,Finance,Investment Managers,175201812.0
ARGD,Argo Group International Holdings Ltd. 6.5% Senior Notes Due 2042,Bermuda,Finance,Specialty Insurers,
ARGO,Argo Group International Holdings Ltd.,Bermuda,Finance,Specialty Insurers,29552492.0
ARI,Apollo Commercial Real Estate Finance Inc,United States,Real Estate,Real Estate Investment Trusts,132108638.0
ARIS,Aris Water Solutions Inc. Class A Common Stock,United States,Utilities,Water Supply,24578073.0
ARL,American Realty Investors Inc. Common Stock,United States,Consumer Discretionary,Educational Services,1418795.0
ARLO,Arlo Technologies Inc. Common Stock,United States,Consumer Staples,Consumer Electronics/Appliances,89250617.0
ARMK,Aramark Common Stock,United States,Consumer Discretionary,Restaurants,259781551.0
AROC,Archrock Inc. Common Stock,United States,Energy,Oil & Gas Production,137498962.0
ARR,ARMOUR Residential REIT Inc.,United States,Real Estate,Real Estate Investment Trusts,226806959.0
ARW,Arrow Electronics Inc. Common Stock,United States,Technology,Electronic Components,55242918.0
ASA,ASA  Gold and Precious Metals Limited,United States,Industrials,Precious Metals,18104155.0
ASAN,Asana Inc. Class A Common Stock,United States,Technology,Retail: Computer Software & Peripheral Equipment,79348438.0
ASB,Associated Banc-Corp Common Stock,United States,Finance,Major Banks,146472348.0
ASBA,Associated Banc-Corp 6.625% Fixed-Rate Reset Subordinated Notes due 2033,United States,Finance,Major Banks,
ASG,Liberty All-Star Growth Fund Inc.,United States,Finance,Investment Managers,
ASGN,ASGN Incorporated Common Stock,United States,Consumer Discretionary,Professional Services,46557412.0
ASH,Ashland Inc. Common Stock,United States,Consumer Discretionary,Specialty Chemicals,47216034.0
ASIX,AdvanSix Inc. Common Stock ,United States,Industrials,Major Chemicals,26338702.0
ASPN,Aspen Aerogels Inc. Common Stock,United States,Consumer Discretionary,RETAIL: Building Materials,68383450.0
ASR,Grupo Aeroportuario del Sureste S.A. de C.V. Common Stock,Mexico,Consumer Discretionary,Aerospace,15893700.0
ASX,ASE Technology Holding Co. Ltd. American Depositary Shares (each representing Two Common Shares) ,Taiwan,Technology,Semiconductors,1482552305.0
ATEN,A10 Networks Inc. Common Stock,United States,Technology,EDP Services,69599433.0
ATGE,Adtalem Global Education Inc. Common Stock,United States,Consumer Discretionary,Educational Services,41015294.0
ATHM,Autohome Inc. American Depositary Shares each representing four class A ordinary shares.,China,Technology,EDP Services,66947742.0
ATI,ATI Inc. Common Stock,United States,Industrials,Steel/Iron Ore,127480184.0
ATKR,Atkore Inc. Common Stock,United States,Miscellaneous,Industrial Machinery/Components,37368654.0
ATO,Atmos Energy Corporation Common Stock,United States,Utilities,Oil/Gas Transmission,138831720.0
ATR,AptarGroup Inc. Common Stock,United States,Industrials,Plastic Products,65188805.0
ATUS,Altice USA Inc. Class A Common Stock,United States,Telecommunications,Telecommunications Equipment,218852132.0
AU,AngloGold Ashanti Limited Common Stock,South Africa,Basic Materials,Precious Metals,1413885297.0
AUB,Atlantic Union Bankshares Corporation Common Stock,United States,Finance,Major Banks,74046146.0
AVA,Avista Corporation Common Stock,United States,Utilities,Power Generation,75878509.0
AVB,AvalonBay Communities Inc. Common Stock,United States,Real Estate,Real Estate Investment Trusts,141321914.0
AVD,American Vanguard Corporation Common Stock ($0.10 Par Value),United States,Industrials,Agricultural Chemicals,27329727.0
AVK,Advent Convertible and Income Fund,United States,Finance,Trusts Except Educational Religious and Charitable,
AVNS,Avanos Medical Inc. Common Stock,United States,Health Care,Industrial Specialties,43540380.0
AVNT,Avient Corporation Common Stock,United States,Industrials,Major Chemicals,87297166.0
AVTR,Avantor Inc. Common Stock,United States,Industrials,Biotechnology: Laboratory Analytical Instruments,672092732.0
AVY,Avery Dennison Corporation Common Stock,United States,Consumer Discretionary,Containers/Packaging,79913998.0
AWF,Alliancebernstein Global High Income Fund,United States,Finance,Trusts Except Educational Religious and Charitable,
AWI,Armstrong World Industries Inc Common Stock,United States,Industrials,Plastic Products,44198930.0
AWK,American Water Works Company Inc. Common Stock,United States,Utilities,Water Supply,194242317.0
AWP,abrdn Global Premier Properties Fund Common Shares of Beneficial Interest,United States,Finance,Trusts Except Educational Religious and Charitable,
AWR,American States Water Company Common Stock,United States,Utilities,Water Supply,36611823.0
AX,Axos Financial Inc. Common Stock,United States,Finance,Savings Institutions,52632004.0
AXL,American Axle & Manufacturing Holdings Inc. Common Stock,United States,Consumer Discretionary,Auto Parts:O.E.M.,114335132.0
AXP,American Express Company Common Stock,United States,Finance,Finance: Consumer Services,583503729.0
AXR,AMREP Corporation Common Stock,United States,Real Estate,Homebuilding,3176348.0
AXS,Axis Capital Holdings Limited Common Stock,Bermuda,Finance,Property-Casualty Insurers,77371502.0
AXTA,Axalta Coating Systems Ltd. Common Shares,United States,Consumer Discretionary,Paints/Coatings,220874719.0
AYI,Acuity Brands Inc. ,United States,Consumer Discretionary,Building Products,30809923.0
AYX,Alteryx Inc. Class A Common Stock,United States,Technology,Computer Software: Prepackaged Software,62452426.0
AZEK,The AZEK Company Inc. Class A Common Stock,United States,Industrials,Plastic Products,143776801.0
AZO,AutoZone Inc. Common Stock,United States,Consumer Discretionary,Auto & Home Supply Stores,18103680.0
AZUL,Azul S.A. American Depositary Shares (each representing three preferred shares),Brazil,Consumer Discretionary,Air Freight/Delivery Services,88191434.0
AZZ,AZZ Inc.,United States,Industrials,Industrial Specialties,24368103.0
B,Barnes Group Inc. Common Stock,United States,Industrials,Metal Fabrications,48338395.0
BA,Boeing Company (The) Common Stock,United States,Industrials,Aerospace,558264889.0
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,China,Consumer Discretionary,Catalog/Specialty Distribution,2065831500.0
BAC,Bank of America Corporation Common Stock,United States,Finance,Major Banks,7918400529.0
BAH,Booz Allen Hamilton Holding Corporation Common Stock,United States,Consumer Discretionary,Professional Services,128726531.0
BAK,Braskem SA ADR,Brazil,Industrials,Major Chemicals,101476582.0
BALL,Ball Corporation Common Stock,United States,Industrials,Containers/Packaging,312572780.0
BALY,Bally's Corporation Common Stock,United States,Consumer Discretionary,Hotels/Resorts,28503275.0
BANC,Banc of California Inc. Common Stock,United States,Finance,Major Banks,52545524.0
BAP,Credicorp Ltd. Common Stock,Peru,Finance,Commercial Banks,52587715.0
BAX,Baxter International Inc. Common Stock,United States,Health Care,Medical/Dental Instruments,504698243.0
BB,BlackBerry Limited Common Stock,Canada,Technology,Computer Software: Prepackaged Software,
BBAR,Banco BBVA Argentina S.A. ADS,Argentina,Finance,Commercial Banks,53879682.0
BBD,Banco Bradesco Sa American Depositary Shares,Brazil,Finance,Major Banks,7623944330.0
BBDC,Barings BDC Inc. Common Stock,United States,Finance,Diversified Financial Services,
BBDO,Banco Bradesco Sa American Depositary Shares (each representing one Common Share),Brazil,Finance,Major Banks,7623944330.0
BBN,BlackRock Taxable Municipal Bond Trust Common Shares of Beneficial Interest,United States,Finance,Finance Companies,
BBVA,Banco Bilbao Vizcaya Argentaria S.A. Common Stock,Spain,Finance,Commercial Banks,6105297939.0
BBW,Build-A-Bear Workshop Inc. Common Stock,United States,Consumer Discretionary,Recreational Games/Products/Toys,11256108.0
BBWI,Bath & Body Works Inc.,United States,Consumer Discretionary,Clothing/Shoe/Accessory Stores,197636160.0
BBY,Best Buy Co. Inc. Common Stock,United States,Consumer Discretionary,Consumer Electronics/Video Chains,195368256.0
BC,Brunswick Corporation Common Stock,United States,Industrials,Industrial Machinery/Components,64266953.0
BCAT,BlackRock Capital Allocation Term Trust Common Shares of Beneficial Interest,United States,Finance,Finance/Investors Services,
BCC,Boise Cascade L.L.C. Common Stock,United States,Consumer Discretionary,RETAIL: Building Materials,39236684.0
BCE,BCE Inc. Common Stock,Canada,Telecommunications,Telecommunications Equipment,911696579.0
BCH,Banco De Chile ADS,Chile,Finance,Commercial Banks,186962414.0
BCO,Brinks Company (The) Common Stock,United States,Consumer Discretionary,Oil Refining/Marketing,45293039.0
BCS,Barclays PLC Common Stock,United Kingdom,Finance,Commercial Banks,3385649200.0
BCSF,Bain Capital Specialty Finance Inc. Common Stock,United States,Finance,Finance/Investors Services,
BCX,BlackRock Resources Common Shares of Beneficial Interest,United States,Finance,Finance/Investors Services,
BDC,Belden Inc Common Stock,United States,Industrials,Telecommunications Equipment,41692367.0
BDJ,Blackrock Enhanced Equity Dividend Trust,United States,Finance,Finance Companies,
BDN,Brandywine Realty Trust Common Stock,United States,Real Estate,Real Estate Investment Trusts,168411329.0
BDX,Becton Dickinson and Company Common Stock,United States,Health Care,Medical/Dental Instruments,289484841.0
BE,Bloom Energy Corporation Class A Common Stock,United States,Energy,Industrial Machinery/Components,191210421.0
BEDU,Bright Scholar Education Holdings Limited American Depositary Shares each  representing four Class A Ordinary Share,China,Consumer Discretionary,Educational Services,6452967.0
BEKE,KE Holdings Inc American Depositary Shares (each representing three Class A Ordinary Shares),China,Finance,Real Estate,657179808.0
BEN,Franklin Resources Inc. Common Stock,United States,Finance,Investment Managers,284746683.0
BEP,Brookfield Renewable Partners L.P. ,Canada,Utilities,Electric Utilities: Central,232681769.0
BERY,Berry Global Group Inc. Common Stock,United States,Industrials,Plastic Products,117725623.0
BFAM,Bright Horizons Family Solutions Inc. Common Stock,United States,Consumer Discretionary,Other Consumer Services,54102465.0
BFH,Bread Financial Holdings Inc. Common Stock,United States,Consumer Discretionary,Business Services,50036261.0
BFK,BlackRock Municipal Income Trust,United States,Finance,Finance Companies,
BFLY,Butterfly Network Inc. Class A Common Stock,United States,Health Care,Medical Electronics,152126112.0
BFS,Saul Centers Inc. Common Stock,United States,Real Estate,Real Estate Investment Trusts,13288063.0
BFZ,BlackRock California Municipal Income Trust,United States,Finance,Finance Companies,
BG,Bunge Limited Bunge Limited,United States,Consumer Staples,Packaged Foods,149325773.0
BGB,Blackstone Strategic Credit 2027 Term Fund Common Shares of Beneficial Interest,United States,Finance,Trusts Except Educational Religious and Charitable,
BGH,Barings Global Short Duration High Yield Fund Common Shares of Beneficial Interests,United States,Finance,Investment Managers,
BGR,BlackRock Energy and Resources Trust,United States,Finance,Trusts Except Educational Religious and Charitable,
BGS,B&G Foods Inc. Common Stock,United States,Consumer Staples,Packaged Foods,70420667.0
BGSF,BGSF Inc. Common Stock,United States,Consumer Discretionary,Professional Services,10012788.0
BGT,BlackRock Floating Rate Income Trust,United States,Finance,Trusts Except Educational Religious and Charitable,
BGY,Blackrock Enhanced International Dividend Trust,United States,Finance,Trusts Except Educational Religious and Charitable,
BH,Biglari Holdings Inc. Class B Common Stock,United States,Consumer Discretionary,Restaurants,206576.0
BHC,Bausch Health Companies Inc. Common Stock,Canada,Health Care,Biotechnology: Pharmaceutical Preparations,310580387.0
BHE,Benchmark Electronics Inc. Common Stock,United States,Technology,Electrical Products,34912633.0
BHG,Bright Health Group Inc. Common Stock,United States,Health Care,Medical Specialities,7627072.0
BHIL,Benson Hill Inc. Common Stock,United States,Consumer Staples,Packaged Foods,98093222.0
BHK,Blackrock Core Bond Trust,United States,Finance,Finance Companies,
BHLB,Berkshire Hills Bancorp Inc. Common Stock,United States,Finance,Banks,42763086.0
BHP,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares),Australia,Basic Materials,Metal Mining,2423699433.0
BHR,Braemar Hotels & Resorts Inc. Common Stock,United States,Real Estate,Real Estate Investment Trusts,53836890.0
BHV,BlackRock Virginia Municipal Bond Trust,United States,Finance,Finance/Investors Services,
BHVN,Biohaven Ltd. Common Shares ,United States,Health Care,Biotechnology: Pharmaceutical Preparations,51435245.0
BIG,Big Lots Inc. Common Stock,United States,Consumer Discretionary,Department/Specialty Retail Stores,27274231.0
BILL,BILL Holdings Inc. Common Stock,United States,Technology,EDP Services,96528139.0
BIO,Bio-Rad Laboratories Inc. Class A Common Stock,United States,Industrials,Biotechnology: Laboratory Analytical Instruments,20565906.0
BIP,Brookfield Infrastructure Partners LP Limited Partnership Units,Bermuda,Consumer Discretionary,Marine Transportation,456389478.0
BIPC,Brookfield Infrastructure Corporation ,Canada,Consumer Discretionary,Marine Transportation,97602927.0
BIPH,Brookfield Infrastructure Corporation 5.000% Subordinated Notes due 2081,Canada,Utilities,Oil & Gas Production,
BJ,BJ's Wholesale Club Holdings Inc. Common Stock,United States,Consumer Discretionary,Department/Specialty Retail Stores,132038490.0
BK,The Bank of New York Mellon Corporation Common Stock,United States,Finance,Major Banks,777287206.0
BKD,Brookdale Senior Living Inc. Common Stock,United States,Health Care,Hospital/Nursing Management,125534333.0
BKDT,Brookdale Senior Living Inc. 7.00% Tangible Equity Units,United States,Health Care,Hospital/Nursing Management,
BKE,Buckle Inc. (The) Common Stock,United States,Consumer Discretionary,Clothing/Shoe/Accessory Stores,29337159.0
BKH,Black Hills Corporation Common Stock,United States,Utilities,Electric Utilities: Central,66723051.0
BKKT,Bakkt Holdings Inc. Class A Common Stock,United States,Technology,Computer Software: Prepackaged Software,85186368.0
BKN,BlackRock Investment Quality Municipal Trust Inc. (The),United States,Finance,Trusts Except Educational Religious and Charitable,
BKSY,BlackSky Technology Inc. Class A Common Stock,United States,Technology,Radio And Television Broadcasting And Communications Equipment,80522204.0
BKT,BlackRock Income Trust Inc. (The),United States,Finance,Investment Bankers/Brokers/Service,
BKU,BankUnited Inc. Common Stock,United States,Finance,Savings Institutions,73667871.0
BLD,TopBuild Corp. Common Stock,United States,Consumer Discretionary,Engineering & Construction,31294785.0
BLDR,Builders FirstSource Inc. Common Stock,United States,Consumer Discretionary,RETAIL: Building Materials,122273334.0
BLE,BlackRock Municipal Income Trust II,United States,Finance,Finance/Investors Services,
BLK,BlackRock Inc. Common Stock,United States,Finance,Investment Bankers/Brokers/Service,139815944.0
BLND,Blend Labs Inc. Class A Common Stock,United States,Technology,EDP Services,168404645.0
BLW,Blackrock Limited Duration Income Trust,United States,Consumer Discretionary,Other Consumer Services,
BLX,Banco Latinoamericano de Comercio Exterior S.A.,Panama,Finance,Commercial Banks,27265668.0
BMA,Banco Macro S.A.  ADR (representing Ten Class B Common Shares),Argentina,Finance,Commercial Banks,22163348.0
BME,Blackrock Health Sciences Trust,United States,Finance,Trusts Except Educational Religious and Charitable,
BMI,Badger Meter Inc. Common Stock,United States,Industrials,Industrial Machinery/Components,29127041.0
BMY,Bristol-Myers Squibb Company Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations,2086637780.0
BN,Brookfield Corporation Class A Limited Voting Shares,Canada,Real Estate,Building operators,1386440670.0
BNED,Barnes & Noble Education Inc Common Stock,United States,Consumer Discretionary,Other Specialty Stores,29279945.0
